xray_id,grb_id,z_xray,z_optical,Z1,Z2,Z3
GRB050319,050319,3.24,3.24,-0.8499252591330282,0.3257609473852507,-0.26077642446892113
GRB050401,050401,2.9,2.8992,-0.28410828495015544,1.2709390541384076,-0.7443825841756075
GRB050730,050730,3.967,3.97,-0.0938501424561837,0.4984087682844801,0.2876595995651398
GRB050802,050802,1.7102,1.71,-0.0592323616117447,0.04384420818944702,-0.9401391370380004
GRB050824,050824,0.8278,0.83,-1.355365740234785,1.3234177654454289,0.004349121051776983
GRB050904,050904,6.29,6.295,2.167540460770658,0.5864385317544967,2.0700840871992767
GRB060124,060124,2.296,2.3,-0.7469530538724258,-0.3687425620809431,0.23149769600163278
GRB060206,060206,4.048,4.05,-0.4346666635429032,-0.8270722687775957,0.22913881931465455
GRB060210,060210,3.91,3.91,0.3930346246199635,-0.23945871694854828,-0.011992303123690484
GRB060418,060418,1.489,1.49,0.32799883038620975,-1.1690790754385887,-1.098003342785069
GRB060526,060526,3.221,3.21,-0.5727896668000843,0.8419281197314771,-0.5211630673678768
GRB060605,060605,3.78,3.78,0.412670438379721,-0.3818387988836257,-0.34450674643315576
GRB060614,060614,0.125,0.13,0.03651464467495055,0.7825016264043576,1.6196525028341504
GRB060708,060708,1.92,1.92,0.3767108052801882,-0.6391628204233271,-0.8066725408009653
GRB060714,060714,2.711,2.71,-0.30816289400134705,0.6354839807495132,-0.21110260292599176
GRB060729,060729,0.54,0.54,-1.5443177313730958,-0.6249504474531066,1.3166763523011262
GRB060927,060927,5.47,5.46,1.0769653609607355,0.7300364480081927,-0.9469808754710836
GRB061021,061021,0.3463,0.3463,-0.225592562866644,-0.2481476205330747,-0.00631098715706313
GRB061121,061121,1.314,1.31,-0.34211000777913236,-0.38018833722969336,-0.1079940643768749
GRB070110,070110,2.352,2.35,-0.18920783097143606,-0.24942096306192915,0.3845173651690567
GRB070208,070208,1.165,1.17,0.7630890785788412,0.1817209717455538,-1.128461379067044
GRB071003,071003,1.60435,1.6,-0.011612753710685514,0.9939641495143858,1.593564353298221
GRB080310,080310,2.42,2.43,-0.8399461183312038,0.4510601037863281,-0.9369289132471227
GRB080607,080607,3.036,3.04,1.6467819686147527,-0.9243996617604748,-0.7550152330176488
GRB080710,080710,0.845,0.85,0.34212791173487855,-0.31511088743221305,0.2653319760928109
GRB080810,080810,3.35,3.35,-0.06533268764777292,-1.3367701532853262,-1.0628340857900638
GRB080928,080928,1.692,1.69,1.3210160579792278,-0.30483011229640117,0.9492932948036328
GRB081007,081007,0.5295,0.53,-0.8412014249806308,0.5414053109598468,-0.04742467040494486
GRB081008,081008,1.9685,1.97,-0.3786829501003686,-0.161751377990426,-0.39854929739150585
GRB081029,081029,3.8479,0.98,1.6249133588184193,0.4320759485212947,1.2234767234640416
GRB090102,090102,1.547,1.55,-0.05191026563978929,0.9962998889826237,-0.8638222543267405
GRB090423,090423,8.26,8.23,-0.1734847468104683,1.9015369216988252,0.038846429606118435
GRB090426,090426,2.609,2.61,1.0097056424639175,0.8821293413058726,-1.8445630794058374
GRB090510,090510,0.903,0.903,0.9690871986180726,1.792947634555059,-1.0266012482889286
GRB090529,090529,2.625,2.63,-1.8173791903451368,1.9343148921737732,-1.16218887637437
GRB090530,090530,1.266,1.266,0.8702185670320809,-0.30138520657213796,1.0888173178717593
GRB090618,090618,0.54,0.54,-0.797572710259024,-0.8830489463080966,-0.03879890508581309
GRB090927,090927,1.37,1.37,-0.4829555753556297,1.3880869951013006,-0.05142462070178495
GRB091018,091018,0.971,0.971,-0.14463293500579516,0.07081582922021312,-0.5910252316950024
GRB091020,091020,1.71,1.71,0.40324983756776067,-1.3651053759802476,-1.2887993685839216
GRB091029,091029,2.752,2.75,-0.7634829049962759,0.5091902127224323,0.22269349947749675
GRB091127,091127,0.49,0.49,-1.3391629061919628,-0.2723978393864414,0.18916814906362925
GRB050416A,050416,0.6528,0.65,0.469302874631948,0.8467022171035332,-0.6893781123617204
GRB050820A,050820,2.6147,2.61,-1.2245572126935982,-0.6867583148739531,-0.0807121705993671
GRB050922C,050922C,2.198,2.2,0.15844709230842885,-0.8871963229018655,-1.0743449658966648
GRB051109A,051109,2.346,2.35,-0.3724488017729523,-0.6038584610004314,-0.19856640213504378
GRB060607A,060607,3.0749,3.07,1.164433143992612,0.36321382523696966,0.3152617639378724
GRB060904B,060904B,0.703,0.7,0.8524395545294827,-0.8204875999582085,0.25228444661584326
GRB070810A,070810,2.17,2.17,1.031425537799526,-0.18589590846819698,-0.2961536550363332
GRB080319C,080319C,1.95,1.95,1.6626047397437262,-0.3596411690592522,-0.21851474652849034
GRB081203A,081203,2.1,3.85,0.8461104806852526,-0.8057745177929798,0.5838017023039204
GRB100219A,100219,4.6667,4.67,2.576998566144705,1.6722703016349447,0.3141126250918563
GRB100316B,100316B,1.18,1.18,1.0538894903252367,-0.7678306061240867,0.17087587150797826
GRB100418A,100418,0.6235,0.62,-1.1037591572625904,0.09535427399880178,0.9363392981103351
GRB100513A,100513,4.772,4.772,0.998603570442903,-0.029968394339116335,0.21573980489023944
GRB100621A,100621,0.542,0.54,-1.1496466736888882,-1.4288637771161907,-0.027561953151900492
GRB100814A,100814,1.44,1.439,-0.5533989274780411,0.34396332166404003,2.012860598533059
GRB100901A,100901,1.408,1.41,-0.6984700733403619,-0.31020196832443747,1.3330445459439315
GRB100906A,100906,1.727,1.73,0.10253167830594032,-1.4773891379838857,-0.4315342628968537
GRB101219B,101219B,0.55,0.55,-0.9558547929805999,1.1102967336954763,-0.254669663237591
GRB110213A,110213,1.46,1.4607,0.17691094386637146,-1.5995556010361476,0.6133799692559045
GRB110422A,110422,1.77,1.77,-0.28143120636939734,-0.44786432480931476,-0.6965896021281159
GRB110503A,110503,1.613,1.613,-0.17355464090013872,-0.05354619116958509,-0.7826816359424144
GRB110715A,110715,0.82,0.82,-0.49356120091209843,-0.7676148596163019,-0.09352404671354764
GRB110731A,110731,2.83,2.83,-0.7968685232243095,1.2957516797399662,0.6410877822260944
GRB111209A,111209,0.677,0.68,-0.015247536479502628,-1.2800450362581512,0.8691272803392855
GRB111228A,111228,0.714,0.714,-0.9617904389800671,-0.6799826288038483,0.25974223062434365
GRB120404A,120404,2.876,2.87,1.019080120112712,0.10435157696496744,0.15858640228768017
GRB120729A,120729,0.8,0.8,1.380269713831919,-0.1048202091835986,0.06821255302013471
GRB120907A,120907,0.97,0.97,0.09139551965587404,0.9154292322251429,-1.4645278942204705
GRB121128A,121128,2.2,2.2,0.18821150098721529,-0.8795865924850251,-0.8752133724964315
GRB130420A,130420,1.297,1.297,0.20122876929555028,-0.5705327828955749,-0.12880458459889826
GRB130606A,130606,5.913,5.91,0.027499610418450005,0.17353901241648423,-0.3162870338886856
GRB130831A,130831,0.4791,0.48,0.19662797799131415,-0.7790400001979381,-0.2667256042058454
GRB140206A,140206,2.73,2.73,-0.7232255726072541,-0.9332632004920277,-0.9147788584559334
GRB140423A,140423,3.26,3.26,-0.5403721075566353,0.41704591580048334,-0.15302360565774387
GRB140430A,140430,1.6,1.6,-0.3385711328448896,-0.1930377079733713,-0.04005315981886054
GRB141121A,141121,1.47,1.47,0.1160048458354637,0.7237509919939926,2.705754171424681
GRB150910A,150910,1.359,1.3585,-0.30840476505243253,-0.53627161810657,-0.6546525753387267
GRB151027A,151027,0.81,0.81,-0.29969170861942085,-1.7755714498753306,0.8629940343278985
GRB160227A,160227,2.38,2.38,-0.9090944690481845,1.1179677064590865,0.02007691664151054
GRB160804A,160804,0.736,0.736,-0.6349836870296404,0.6415312094673101,0.5089579977240393
GRB161219B,161219B,0.1475,0.1475,-2.847909340473879,-0.01474917239237844,0.8398883305466391
GRB170714A,170714,0.793,0.793,1.6900844185354422,-0.004858524275668241,1.1866740632278514
GRB180205A,180205,1.409,1.409,-0.24092237272217085,0.15433054923827663,-0.05270247386158994
GRB181010A,181010,1.39,1.39,1.056157733711431,1.1474875134617406,-0.7012058451422865
GRB190627A,190627,1.942,1.942,-0.46447895862707533,-0.2602264621242281,1.0250983881229307
